CompoundName	SumFormula	Mass	Charge	RetentionTime	RetentionTimeRange	IsoDistribution
feature_399	 	1422.8230951171874	+2	381.2922668457031	0	0
feature_3016	 	1422.823473828125	+1	401.2569580078125	0	0
feature_7053	 	1422.8223626953124	+2	411.2484436035156	0	0
feature_8823	 	1422.822484765625	+2	366.4774169921875	0	0
feature_8868	 	1422.8226068359374	+2	358.7937316894531	0	0
feature_120	 	1422.822973046875	+2	389.88134765625	0	0
feature_123	 	1422.8230951171874	+2	399.8429870605469	0	0
